epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.321,1.00133,2.53323,1.04024,0.44919,0.84707,0.53151,0.40845,0.82522,1.95131,0.93084,0.00031673,0.00031673,0.00031673
2,376.845,0.80637,1.54555,0.91342,0.2971,0.85415,0.41124,0.32044,0.79484,2.21712,0.93247,0.000643694,0.000643694,0.000643694
3,560.684,0.76937,1.27399,0.90308,0.52713,0.83791,0.71245,0.56915,0.79253,1.37595,0.9257,0.000964056,0.000964056,0.000964056
4,757.492,0.79437,1.17703,0.91116,0.30073,0.61538,0.46838,0.36824,0.83055,2.65303,0.96499,0.00127782,0.00127782,0.00127782
5,935.629,0.82112,1.19957,0.91505,0.62231,0.62179,0.71186,0.54932,0.85434,1.85586,0.97867,0.00158498,0.00158498,0.00158498
6,1110.76,0.78713,1.03499,0.92084,0.68183,0.66228,0.78549,0.6065,0.8676,1.10802,0.96105,0.00158448,0.00158448,0.00158448
7,1272.01,0.81998,0.96534,0.92955,0.71755,0.73114,0.77917,0.60807,0.86937,1.32913,0.97338,0.00156798,0.00156798,0.00156798
8,1442.59,0.78414,0.9541,0.92147,0.62914,0.80768,0.76654,0.59208,0.78431,0.86947,0.93862,0.00155148,0.00155148,0.00155148
9,1615.22,0.7367,0.85282,0.89176,0.67655,0.86946,0.88485,0.71921,0.774,1.18359,0.93116,0.00153497,0.00153497,0.00153497
10,1768.24,0.76463,0.85596,0.90305,0.71396,0.65568,0.78577,0.62106,0.72796,0.97112,0.90737,0.00151847,0.00151847,0.00151847
11,1920.38,0.77223,0.80594,0.9192,0.77049,0.83242,0.87697,0.68826,0.80271,0.80292,0.94866,0.00150197,0.00150197,0.00150197
12,2084.54,0.77051,0.77533,0.90497,0.87751,0.85767,0.94728,0.73878,0.75803,0.66734,0.92988,0.00148546,0.00148546,0.00148546
13,2260.05,0.74761,0.73242,0.89858,0.81386,0.78829,0.89764,0.73374,0.78213,0.82766,0.91391,0.00146896,0.00146896,0.00146896
14,2418.97,0.72234,0.6828,0.89576,0.79044,0.95696,0.95558,0.7579,0.75915,0.77211,0.928,0.00145246,0.00145246,0.00145246
15,2575.16,0.6973,0.63842,0.88496,0.89043,0.89469,0.96703,0.80427,0.68162,0.54216,0.90377,0.00143595,0.00143595,0.00143595
16,2737.96,0.6823,0.62747,0.87376,0.98801,0.86631,0.97177,0.79686,0.71907,0.51197,0.90104,0.00141945,0.00141945,0.00141945
17,2895.34,0.71239,0.65464,0.89493,0.92184,0.85608,0.93802,0.74444,0.72477,0.56218,0.90542,0.00140295,0.00140295,0.00140295
18,3052.38,0.70096,0.61912,0.88796,0.83339,0.79218,0.88856,0.70512,0.74059,0.75032,0.91948,0.00138644,0.00138644,0.00138644
19,3208.8,0.70502,0.61237,0.88298,0.90182,0.85151,0.94489,0.76925,0.73258,0.55142,0.90448,0.00136994,0.00136994,0.00136994
20,3368.38,0.6867,0.59672,0.87704,0.83339,0.91026,0.9522,0.80967,0.67415,0.50098,0.89751,0.00135344,0.00135344,0.00135344
